# 01:time 02:total_time 03:iteration 04:total_iteration 05:X 06:Y 007:U_RMS(1) 008:U_RMS(2) 009:U_RMS(mag)
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   1.9999999999999998E-002 0.0000000000000000E+000  0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000
  1.7938510864529466E-002  1.7938510864529466E-002      10     10   1.9999999999999998E-002 0.0000000000000000E+000   6.3162400773050242E-004  2.1713533843046892E-005  6.3199712395982867E-004
  4.6540436169914354E-002  4.6540436169914354E-002      20     20   1.9999999999999998E-002 0.0000000000000000E+000   1.7048729791363463E-003  2.7477553424813989E-005  1.7050943935546367E-003
  7.5376347378310910E-002  7.5376347378310910E-002      30     30   1.9999999999999998E-002 0.0000000000000000E+000   3.3375934818683137E-003  4.8786833804722764E-005  3.3379500303872950E-003
  1.0258117864846492E-001  1.0258117864846492E-001      40     40   1.9999999999999998E-002 0.0000000000000000E+000   5.6696848632108896E-003  8.7803907284037396E-005  5.6703647126315459E-003
  1.2960307767380041E-001  1.2960307767380041E-001      50     50   1.9999999999999998E-002 0.0000000000000000E+000   9.3852052315512253E-003  1.6387311875766039E-004  9.3866357997627574E-003
  1.5749992707448690E-001  1.5749992707448690E-001      60     60   1.9999999999999998E-002 0.0000000000000000E+000   1.5356178807618265E-002  2.7540547496945566E-004  1.5358648239581096E-002
  1.8634864772322830E-001  1.8634864772322830E-001      70     70   1.9999999999999998E-002 0.0000000000000000E+000   2.3314818221921784E-002  3.8027045603613697E-004  2.3317919168334682E-002
  2.1599439733745131E-001  2.1599439733745131E-001      80     80   1.9999999999999998E-002 0.0000000000000000E+000   3.2299702815864428E-002  4.5999962749039973E-004  3.2302978216419173E-002
  2.4582443465822607E-001  2.4582443465822607E-001      90     90   1.9999999999999998E-002 0.0000000000000000E+000   4.1333567757124338E-002  5.0810970909576687E-004  4.1336690711875645E-002
  2.7583405656174031E-001  2.7583405656174031E-001     100    100   1.9999999999999998E-002 0.0000000000000000E+000   4.9803283812382481E-002  5.2571992125105104E-004  4.9806058466137619E-002
  3.0603291407226986E-001  3.0603291407226986E-001     110    110   1.9999999999999998E-002 0.0000000000000000E+000   5.7274613617955161E-002  5.2130451382955627E-004  5.7276985984618580E-002
  3.3642268819009069E-001  3.3642268819009069E-001     120    120   1.9999999999999998E-002 0.0000000000000000E+000   6.3532465354794362E-002  5.0603519263779901E-004  6.3534480604427185E-002
  3.6699825285376026E-001  3.6699825285376026E-001     130    130   1.9999999999999998E-002 0.0000000000000000E+000   6.8556000511618186E-002  4.8841792540976438E-004  6.8557740323167406E-002
  3.9769102381425200E-001  3.9769102381425200E-001     140    140   1.9999999999999998E-002 0.0000000000000000E+000   7.2436855644317823E-002  4.7337733690612449E-004  7.2438402396372838E-002
  4.2847023746856489E-001  4.2847023746856489E-001     150    150   1.9999999999999998E-002 0.0000000000000000E+000   7.5327675017096726E-002  4.6315072060153452E-004  7.5329098840164894E-002
  4.5933511780304590E-001  4.5933511780304590E-001     160    160   1.9999999999999998E-002 0.0000000000000000E+000   7.7391635976124355E-002  4.5840352708322704E-004  7.7392993564369811E-002
  4.9028368698366602E-001  4.9028368698366602E-001     170    170   1.9999999999999998E-002 0.0000000000000000E+000   7.8777662992528076E-002  4.5917344656279031E-004  7.8779001179364760E-002
  5.2131300323688076E-001  5.2131300323688076E-001     180    180   1.9999999999999998E-002 0.0000000000000000E+000   7.9614267030390024E-002  4.6510856664956907E-004  7.9615625606818039E-002
  5.5241931963130195E-001  5.5241931963130195E-001     190    190   1.9999999999999998E-002 0.0000000000000000E+000   8.0009317623836349E-002  4.7496241032072177E-004  8.0010727380290358E-002
  5.8359815749409058E-001  5.8359815749409058E-001     200    200   1.9999999999999998E-002 0.0000000000000000E+000   8.0052168912125321E-002  4.8658877459033060E-004  8.0053647738070008E-002
  6.1484422678117809E-001  6.1484422678117809E-001     210    210   1.9999999999999998E-002 0.0000000000000000E+000   7.9816431658406337E-002  4.9795185898330247E-004  7.9817984932813947E-002
  6.4615092377297624E-001  6.4615092377297624E-001     220    220   1.9999999999999998E-002 0.0000000000000000E+000   7.9362653309212731E-002  5.0810907951494916E-004  7.9364279843736884E-002
  6.7750979095475818E-001  6.7750979095475818E-001     230    230   1.9999999999999998E-002 0.0000000000000000E+000   7.8740641159316133E-002  5.1774400179818025E-004  7.8742343304168862E-002
  7.0891161338693544E-001  7.0891161338693544E-001     240    240   1.9999999999999998E-002 0.0000000000000000E+000   7.7991328677078728E-002  5.2892619959581734E-004  7.7993122207927676E-002
  7.4034952915799543E-001  7.4034952915799543E-001     250    250   1.9999999999999998E-002 0.0000000000000000E+000   7.7148179351654109E-002  5.4308258484925397E-004  7.7150090835779039E-002
  7.7182080390241250E-001  7.7182080390241250E-001     260    260   1.9999999999999998E-002 0.0000000000000000E+000   7.6238296315433355E-002  5.5912611967514704E-004  7.6240346583010252E-002
  8.0332480168193391E-001  8.0332480168193391E-001     270    270   1.9999999999999998E-002 0.0000000000000000E+000   7.5283447941896106E-002  5.7460170422116041E-004  7.5285640736721344E-002
  8.3486022318965815E-001  8.3486022318965815E-001     280    280   1.9999999999999998E-002 0.0000000000000000E+000   7.4301016726369200E-002  5.8729465632097106E-004  7.4303337755349447E-002
  8.6642502215709438E-001  8.6642502215709438E-001     290    290   1.9999999999999998E-002 0.0000000000000000E+000   7.3304781322930905E-002  5.9581269963839140E-004  7.3307202630954142E-002
  8.9801751542614507E-001  8.9801751542614507E-001     300    300   1.9999999999999998E-002 0.0000000000000000E+000   7.2305555371954453E-002  5.9981705271817054E-004  7.2308043246540032E-002
  9.2963641990341798E-001  9.2963641990341798E-001     310    310   1.9999999999999998E-002 0.0000000000000000E+000   7.1311739269551743E-002  6.0020273400158625E-004  7.1314265059456598E-002
  9.6128044439847375E-001  9.6128044439847375E-001     320    320   1.9999999999999998E-002 0.0000000000000000E+000   7.0329772908202130E-002  5.9904462088731902E-004  7.0332324089120614E-002
  9.9294834175721788E-001  9.9294834175721788E-001     330    330   1.9999999999999998E-002 0.0000000000000000E+000   6.9364488367188963E-002  5.9882928512995103E-004  6.9367073190056265E-002
  1.0246390002544900E+000  1.0246390002544900E+000     340    340   1.9999999999999998E-002 0.0000000000000000E+000   6.8419402307071379E-002  6.0086604529270148E-004  6.8422040689103029E-002
  1.0563513191119755E+000  1.0563513191119755E+000     350    350   1.9999999999999998E-002 0.0000000000000000E+000   6.7496970018738133E-002  6.0430094532919840E-004  6.7499675120277133E-002
  1.0880841365626616E+000  1.0880841365626616E+000     360    360   1.9999999999999998E-002 0.0000000000000000E+000   6.6598799999054651E-002  6.0699571127354357E-004  6.6601566085998200E-002
  1.1198362559333920E+000  1.1198362559333920E+000     370    370   1.9999999999999998E-002 0.0000000000000000E+000   6.5725832847491076E-002  6.0712355572487091E-004  6.5728636852655428E-002
  1.1516064505913583E+000  1.1516064505913583E+000     380    380   1.9999999999999998E-002 0.0000000000000000E+000   6.4878491377850782E-002  6.0424843515541599E-004  6.4881305162868345E-002
  1.1833934694661887E+000  1.1833934694661887E+000     390    390   1.9999999999999998E-002 0.0000000000000000E+000   6.4056804023373912E-002  5.9982989226094547E-004  6.4059612374635728E-002
  1.2151960883614543E+000  1.2151960883614543E+000     400    400   1.9999999999999998E-002 0.0000000000000000E+000   6.3260503523441222E-002  5.9700180897554213E-004  6.3263320472444686E-002
  1.2470131760826095E+000  1.2470131760826095E+000     410    410   1.9999999999999998E-002 0.0000000000000000E+000   6.2489105248438860E-002  5.9887299470530086E-004  6.2491974873692832E-002
  1.2788437450123186E+000  1.2788437450123186E+000     420    420   1.9999999999999998E-002 0.0000000000000000E+000   6.1741969150966751E-002  6.0587227860746084E-004  6.1744941783573779E-002
  1.3106869875861439E+000  1.3106869875861439E+000     430    430   1.9999999999999998E-002 0.0000000000000000E+000   6.1018348229648440E-002  6.1519995395059430E-004  6.1021449439176560E-002
  1.3425423019333566E+000  1.3425423019333566E+000     440    440   1.9999999999999998E-002 0.0000000000000000E+000   6.0317426086242091E-002  6.2294206343424134E-004  6.0320642789045892E-002
  1.3744092995964323E+000  1.3744092995964323E+000     450    450   1.9999999999999998E-002 0.0000000000000000E+000   5.9638345972459045E-002  6.2620078823485343E-004  5.9641633426306395E-002
