# 01:time 02:total_time 03:iteration 04:total_iteration 05:X 06:Y 007:U_MEAN(1) 008:U_MEAN(2) 009:U_MEAN(mag)
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   1.9999999999999998E-002 0.0000000000000000E+000  0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000
  1.7938510864529466E-002  1.7938510864529466E-002      10     10   1.9999999999999998E-002 0.0000000000000000E+000   1.4088429971088625E-001  1.0256545304870898E-004  1.4088433704531877E-001
  4.6540436169914354E-002  4.6540436169914354E-002      20     20   1.9999999999999998E-002 0.0000000000000000E+000   1.3910772787262983E-001  1.2496709726378072E-004  1.3910778400456615E-001
  7.5376347378310910E-002  7.5376347378310910E-002      30     30   1.9999999999999998E-002 0.0000000000000000E+000   1.3684398549056568E-001  1.5342633540014041E-004  1.3684407149958142E-001
  1.0258117864846492E-001  1.0258117864846492E-001      40     40   1.9999999999999998E-002 0.0000000000000000E+000   1.3400226110835986E-001  1.9446588503112442E-004  1.3400240221404051E-001
  1.2960307767380041E-001  1.2960307767380041E-001      50     50   1.9999999999999998E-002 0.0000000000000000E+000   1.3005253090576767E-001  2.6533660116954469E-004  1.3005280157884939E-001
  1.5749992707448690E-001  1.5749992707448690E-001      60     60   1.9999999999999998E-002 0.0000000000000000E+000   1.2424520114845352E-001  3.7121788905241670E-004  1.2424575570674769E-001
  1.8634864772322830E-001  1.8634864772322830E-001      70     70   1.9999999999999998E-002 0.0000000000000000E+000   1.1640122809257302E-001  4.9205796028348034E-004  1.1640226811576950E-001
  2.1599439733745131E-001  2.1599439733745131E-001      80     80   1.9999999999999998E-002 0.0000000000000000E+000   1.0691088068341159E-001  6.0940275066093532E-004  1.0691261749772653E-001
  2.4582443465822607E-001  2.4582443465822607E-001      90     90   1.9999999999999998E-002 0.0000000000000000E+000   9.6496836654790882E-002  7.0899542807525328E-004  9.6499441236197949E-002
  2.7583405656174031E-001  2.7583405656174031E-001     100    100   1.9999999999999998E-002 0.0000000000000000E+000   8.5709278388689735E-002  7.8282806233040709E-004  8.5712853305003715E-002
  3.0603291407226986E-001  3.0603291407226986E-001     110    110   1.9999999999999998E-002 0.0000000000000000E+000   7.5028691029464260E-002  8.2859792456642722E-004  7.5033266303123227E-002
  3.3642268819009069E-001  3.3642268819009069E-001     120    120   1.9999999999999998E-002 0.0000000000000000E+000   6.4814543820614067E-002  8.4921406496131854E-004  6.4820106874352108E-002
  3.6699825285376026E-001  3.6699825285376026E-001     130    130   1.9999999999999998E-002 0.0000000000000000E+000   5.5287108692500188E-002  8.5017854386472109E-004  5.5293645124306811E-002
  3.9769102381425200E-001  3.9769102381425200E-001     140    140   1.9999999999999998E-002 0.0000000000000000E+000   4.6567315856849971E-002  8.3734874226301645E-004  4.6574843628592041E-002
  4.2847023746856489E-001  4.2847023746856489E-001     150    150   1.9999999999999998E-002 0.0000000000000000E+000   3.8681423274291478E-002  8.1574621650785719E-004  3.8690023887491271E-002
  4.5933511780304590E-001  4.5933511780304590E-001     160    160   1.9999999999999998E-002 0.0000000000000000E+000   3.1600770714416013E-002  7.8913447448119171E-004  3.1610622312189740E-002
